 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1441,1.095,3.939,1.414,0.986,135.000,1.785,610,851,135.000,1.262
1442,4.180,8.585,2.734,1.946,88.553,3.107,340,883,113.962,2.208
1443,1.891,7.247,2.315,1.040,103.967,2.695,825,887,110.556,1.577
1444,0.299,2.154,1.068,0.356,90.000,0.998,1377,909,108.435,0.315
1445,0.498,3.416,1.780,0.356,90.000,1.609,839,911,101.310,0.315
1446,0.299,2.154,1.068,0.356,90.000,0.998,863,943,108.435,0.315
1447,0.498,3.046,1.046,0.606,135.000,1.338,261,957,135.000,0.892
1448,0.398,2.785,1.424,0.356,90.000,1.301,533,985,104.036,0.315
1449,1.891,5.723,1.710,1.408,22.950,2.231,515,992,45.000,1.750
1450,1.095,4.646,1.357,1.027,13.283,1.609,124,993,168.690,1.262
1451,0.299,1.969,1.068,0.356,0.000,0.998,1381,997,161.565,0.315
1452,0.398,2.231,1.007,0.503,18.435,1.137,895,1007,33.690,0.631
1453,6.767,11.447,3.924,2.196,43.842,4.383,901,1016,30.256,2.677
1454,0.796,3.308,1.276,0.795,19.330,1.411,418,1010,26.565,0.946
1455,0.498,3.046,1.046,0.606,135.000,1.338,73,9,135.000,0.892
1456,0.299,1.969,1.068,0.356,0.000,0.998,748,9,161.565,0.315
1457,0.299,2.154,1.068,0.356,90.000,0.998,257,11,108.435,0.315
1458,0.299,1.969,1.068,0.356,0.000,0.998,47,17,161.565,0.315
1459,0.299,1.969,1.068,0.356,0.000,0.998,1119,19,161.565,0.315
1460,1.493,4.646,1.831,1.038,53.915,2.020,118,25,38.660,1.270
1461,0.697,4.308,1.477,0.601,72.231,1.839,35,28,59.036,0.946
1462,0.299,1.785,0.746,0.510,45.000,0.892,747,29,45.000,0.631
1463,0.995,4.200,1.626,0.779,55.901,1.839,753,111,59.036,0.988
1464,0.299,1.785,0.746,0.510,45.000,0.892,1151,145,45.000,0.631
1465,0.896,4.385,1.668,0.684,0.354,1.919,1151,147,170.538,0.946
1466,0.299,1.785,0.746,0.510,45.000,0.892,1002,166,45.000,0.631
1467,0.299,2.154,1.068,0.356,90.000,0.998,815,319,108.435,0.315
1468,0.299,2.154,1.068,0.356,90.000,0.998,743,337,108.435,0.315
1469,0.796,3.308,1.027,0.987,90.000,1.338,23,400,135.000,0.946
1470,0.299,2.154,1.068,0.356,90.000,0.998,13,401,108.435,0.315
1471,1.095,3.939,1.759,0.792,110.301,1.839,375,581,120.964,0.946
1472,0.896,3.308,1.326,0.860,125.783,1.577,655,692,126.870,0.946
1473,2.189,7.877,1.999,1.395,153.753,2.714,913,727,144.462,1.995
1474,0.299,1.969,1.068,0.356,0.000,0.998,1361,763,161.565,0.315
1475,2.289,6.169,1.986,1.468,58.546,2.275,626,877,56.310,1.836
1476,0.398,2.600,1.424,0.356,0.000,1.301,1111,871,165.964,0.315
1477,1.592,5.908,1.588,1.276,36.323,2.116,637,876,26.565,1.704
1478,1.393,6.169,2.074,0.855,148.903,2.403,630,877,156.801,1.270
1479,0.299,1.969,1.068,0.356,0.000,0.998,747,959,161.565,0.315
1480,0.299,1.969,1.068,0.356,0.000,0.998,1119,1011,161.565,0.315
1481,0.299,2.154,1.068,0.356,90.000,0.998,1119,1020,108.435,0.315
