 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
3119,0.299,1.969,1.068,0.356,0.000,0.998,597,15,161.565,0.315
3120,0.896,3.308,1.236,0.922,110.301,1.411,1337,16,116.565,0.946
3121,0.796,4.385,1.155,0.878,90.000,1.609,433,21,101.310,1.262
3122,1.095,3.754,1.502,0.928,177.536,1.699,69,22,158.199,0.946
3123,0.597,3.308,1.269,0.599,83.736,1.411,286,26,63.435,0.631
3124,0.498,2.677,1.023,0.619,90.000,1.137,57,23,123.690,0.631
3125,0.299,2.154,1.068,0.356,90.000,0.998,1309,24,108.435,0.315
3126,0.697,3.754,1.213,0.732,133.637,1.577,964,25,143.130,0.946
3127,0.398,2.785,1.424,0.356,90.000,1.301,673,27,104.036,0.315
3128,0.299,1.969,1.068,0.356,0.000,0.998,1343,29,161.565,0.315
3129,0.796,3.569,1.017,0.997,45.002,1.338,57,36,45.000,1.115
3130,0.398,2.416,1.007,0.503,18.435,1.137,671,34,33.690,0.631
3131,0.498,2.862,1.177,0.538,5.152,1.301,304,33,165.964,0.631
3132,0.498,3.231,1.780,0.356,0.000,1.609,657,33,168.690,0.315
3133,0.498,3.046,1.320,0.480,100.901,1.411,1125,36,116.565,0.631
3134,0.299,1.785,0.746,0.510,135.000,0.892,814,43,135.000,0.631
3135,0.498,2.862,1.177,0.538,5.152,1.301,26,45,165.964,0.631
