 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
692,1.891,9.139,2.379,1.012,3.088,3.170,464,315,174.289,1.526
693,0.697,4.124,1.180,0.752,90.000,1.609,291,313,101.310,0.946
694,1.294,7.170,2.839,0.580,2.345,3.170,251,315,174.289,0.892
695,0.299,2.154,1.068,0.356,90.000,0.998,481,315,108.435,0.315
696,0.597,3.862,2.136,0.356,0.000,1.919,519,315,170.538,0.315
697,0.995,4.570,1.663,0.762,9.667,1.919,567,317,170.538,0.946
698,0.995,3.939,1.200,1.056,64.330,1.577,425,320,53.130,1.262
699,3.583,14.939,3.670,1.243,6.755,5.087,166,319,172.875,2.135
700,1.194,3.939,1.495,1.017,91.907,1.699,463,317,111.801,0.946
701,2.189,5.647,2.139,1.303,97.749,2.403,151,319,113.199,1.262
702,0.796,4.385,1.130,0.897,39.938,1.577,161,322,36.870,0.946
703,7.166,15.047,3.540,2.577,16.484,4.826,186,326,11.310,3.155
704,1.194,5.277,1.712,0.888,58.381,2.116,277,325,63.435,1.262
705,0.697,2.862,1.048,0.847,135.000,1.338,381,319,135.000,0.946
706,2.488,10.216,2.561,1.237,59.077,3.353,433,328,48.814,2.116
707,1.791,4.831,1.796,1.270,100.471,1.995,964,319,108.435,1.262
708,0.498,3.046,1.046,0.606,45.000,1.338,551,324,45.000,0.892
709,3.185,9.031,2.488,1.630,111.738,3.248,133,322,119.055,2.195
710,1.791,5.539,1.640,1.391,57.171,2.231,257,328,45.000,1.577
711,5.275,14.754,3.739,1.796,0.155,4.517,115,324,155.225,2.700
712,0.299,1.969,1.068,0.356,0.000,0.998,615,323,161.565,0.315
713,2.787,7.508,2.142,1.657,87.416,2.714,523,332,54.462,1.893
714,0.498,3.416,1.780,0.356,90.000,1.609,565,325,101.310,0.315
715,0.299,2.154,1.068,0.356,90.000,0.998,283,327,108.435,0.315
716,0.597,3.677,1.511,0.503,94.731,1.609,165,330,101.310,0.631
717,0.398,2.785,1.424,0.356,90.000,1.301,1087,330,104.036,0.315
718,1.891,5.723,2.004,1.201,138.247,2.464,172,333,140.194,1.561
719,0.498,2.862,1.177,0.538,174.848,1.301,636,333,165.964,0.631
